dimension,value,records,with_sources,reviewed,with_evidence,origins_known,nonzero,distinct_sources,sparse
source_family,world trade institute university of bern,2,0,0,0,0,0,2,1
source_family,world trade organization,3,0,0,0,0,0,3,1
source_family,world trade organization regional trade agreements information system,1,0,0,0,0,0,1,1
source_family,xinhua,1,1,0,0,0,1,1,1
source_family,zawya,1,0,0,0,0,0,1,1
source_family,zawya communique de presse,1,1,0,0,0,1,1,1
source_family,zoom tunisia,1,1,0,0,0,1,1,1
source_family,ويكيبيديا (العربية),1,0,0,0,0,0,1,1
language,ar,66,37,0,0,0,37,66,0
language,en,448,186,0,0,0,186,448,0
language,fr,745,549,0,0,0,549,745,0
language,it,4,1,0,0,0,1,4,1
office,administrative-court-president,3,3,0,0,0,0,1,1
office,agriculture-minister,1,1,0,0,0,0,1,1
office,amt-president,1,1,0,0,0,0,6,1
office,anti-corruption-head,1,1,0,0,0,0,3,1
office,attessia-tv-owner,2,2,0,0,0,0,5,1
office,audit-court-president,4,4,0,0,0,0,3,1
office,bank-director-general,3,3,0,0,0,0,1,1
office,bar-president,7,7,0,1,1,1,1,1
office,bct-governor,14,14,0,0,0,0,11,1
office,bh-bank-pdg,1,1,0,0,0,0,1,1
office,bna-pdg,2,2,0,0,0,0,2,1
office,cassation-president,4,4,0,0,0,0,2,1
office,chief-air-force,7,7,0,0,0,0,8,1
office,chief-armed-forces,1,1,0,0,0,0,4,1
office,chief-land-forces,4,4,0,0,0,0,12,1
office,chief-navy,5,5,0,0,0,0,9,1
office,cnrd-president,1,1,0,0,0,0,3,1
office,cnss-pdg,1,1,0,0,0,0,2,1
office,commerce-minister,1,1,0,0,0,0,4,1
office,conect-president,2,2,0,0,0,0,5,1
office,cpg-gct-pdg,1,1,0,0,0,0,3,1
office,csee-secretary-general,1,1,0,0,0,0,3,1
office,csm-president,2,2,0,0,0,0,1,1
office,defence-minister,14,14,3,0,0,0,15,1
office,dg-military-security,3,3,0,0,0,0,4,1
office,dg-national-security,22,22,2,0,0,0,37,1
office,dg-presidential-security,2,2,0,0,0,0,4,1
office,dg-public-security,1,1,0,0,0,0,3,1
office,douane-dg,4,4,0,0,0,0,10,1
office,elloumi-principal,2,2,0,0,0,0,7,1
office,equipment-minister,1,1,0,0,0,0,2,1
office,etap-pdg,1,1,0,0,0,0,1,1
office,finance-minister,26,26,0,0,0,0,12,1
office,foreign-minister,31,31,4,0,0,0,47,1
office,grand-vizier,25,25,0,0,0,0,10,1
office,hannibal-owner,1,1,0,0,0,0,2,1
office,haute-instance-president,1,1,0,0,0,0,2,1
office,head-anrsd,1,1,0,0,0,0,3,1
office,health-minister,1,1,0,0,0,0,1,1
office,hiwar-owner,2,2,0,0,0,0,4,1
office,human-rights-minister,1,1,0,0,0,0,2,1
office,inspector-general-forces,3,3,0,0,0,0,4,1
office,interior-minister,27,27,10,0,0,0,27,1
office,isie-president,5,5,0,0,0,0,14,1
office,ivd-president,1,1,0,0,0,0,2,1
office,justice-minister,23,23,0,0,0,0,19,1
office,justice-ministry-advisor,1,1,0,0,0,0,1,1
office,la-poste-pdg,3,3,0,0,0,0,1,1
office,leaders-editor,1,1,0,0,0,0,3,1
office,ltdh-president,5,5,0,0,0,0,9,1
office,mabrouk-principal,1,1,0,0,0,0,2,1
office,media-regulator-president,2,2,0,0,0,0,1,1
office,mosaique-fm-owner,1,1,0,0,0,0,4,1
office,mufti,2,2,0,0,0,0,6,1
office,national-security-adviser,2,2,0,0,0,0,4,1
office,nessma-owner,1,1,0,0,0,0,2,1
office,ng-commander,8,8,1,0,0,0,19,1
office,ooredoo-tunisie-dg,1,1,0,0,0,0,2,1
office,party-leader-cpr,1,1,0,0,0,0,1,1
office,party-leader-ennahda,1,1,0,0,0,0,1,1
office,party-leader-ettakatol,1,1,0,0,0,0,1,1
office,party-leader-id,1,1,0,0,0,0,1,1
office,party-leader-karama,1,1,0,0,0,0,3,1
office,party-leader-machrouu,1,1,0,0,0,0,1,1
office,party-leader-mds,1,1,0,0,0,0,3,1
office,party-leader-nidaa,2,2,0,0,0,0,1,1
office,party-leader-pdl,1,1,0,0,0,0,1,1
office,party-leader-pdp,2,2,0,0,0,0,4,1
office,party-leader-people-movement,2,2,0,0,0,0,4,1
office,party-leader-popular-front,1,1,0,0,0,0,2,1
office,party-leader-qalb,1,1,0,0,0,0,2,1
office,party-leader-republican,2,2,0,0,0,0,3,1
office,party-leader-tahya,1,1,0,0,0,0,1,1
office,party-leader-tayyar,4,4,0,0,0,0,6,1
office,party-leader-upl,1,1,0,0,0,0,5,1
office,party-leader-upr,1,1,0,0,0,0,4,1
office,poulina-chairman,2,2,0,0,0,0,7,1
office,president,7,7,1,0,0,0,11,1
office,presidential-cabinet-director,3,3,0,0,0,0,6,1
office,presidential-security-chief,1,1,0,0,0,0,3,1
office,prime-minister,22,22,8,0,0,0,26,1
office,religious-affairs-director,1,1,0,0,0,0,2,1
office,religious-affairs-minister,14,14,0,0,0,0,8,1
office,religious-affairs-secretary-of-state,2,2,0,0,0,0,3,1
office,sec-state-security,1,1,0,0,0,0,2,1
office,sncft-pdg,3,3,0,0,0,0,1,1
office,soe-director-general,1,1,0,0,0,0,2,1
office,soe-pdg,4,4,0,0,0,0,6,1
office,sonede-pdg,2,2,0,0,0,0,1,1
office,speaker,15,15,0,1,1,1,12,1
office,state-properties-minister,1,1,0,0,0,0,2,1
office,steg-pdg,2,2,0,0,0,0,1,1
office,tourism-minister,1,1,0,0,0,0,3,1
office,tunisie-telecom-pdg,1,1,0,0,0,0,5,1
office,tv-president,11,11,0,0,0,0,1,1
office,ugtt-secretary-general,2,2,0,0,0,0,2,1
office,usgn-commander,1,1,0,0,0,0,1,1
office,utap-president,2,2,0,0,0,0,5,1
office,utica-president,1,1,0,0,0,0,1,1
office,zitouna-tv-owner,2,2,0,0,0,0,3,1
