dimension,value,records,with_sources,reviewed,with_evidence,origins_known,nonzero,distinct_sources,sparse
institution,republican-people-union,1,1,0,0,0,0,4,1
institution,russia,1,1,0,0,0,0,1,1
institution,saied-family-clan-network,3,3,0,0,0,0,3,1
institution,sncft,6,6,0,0,0,0,1,1
institution,sonede,2,2,0,0,0,0,1,1
institution,sonibank,1,1,0,0,0,0,1,1
institution,stb,26,26,0,0,0,0,6,1
institution,steg,8,8,0,0,0,0,3,1
institution,steg-energies-renouvelables,1,1,0,0,0,0,1,1
institution,steg-international-services,1,1,0,0,0,0,1,1
institution,tahya-tounes,2,2,0,0,0,0,1,1
institution,tayyar-dimocrati,4,4,0,0,0,0,6,1
institution,trabelsi-network,4,4,1,0,0,0,6,1
institution,tunisair,12,12,0,0,0,0,14,1
institution,tunisie-telecom,5,5,0,0,0,0,8,1
institution,tunisie-valeurs,1,1,0,0,0,0,1,1
institution,turkey,1,1,0,0,0,0,1,1
institution,ugtt,8,8,0,0,0,0,8,1
institution,united-arab-emirates,2,2,0,0,0,0,2,1
institution,united-kingdom,1,1,0,0,0,0,1,1
institution,united-states,1,1,0,0,0,0,4,1
institution,upl,1,1,0,0,0,0,5,1
institution,usgn,2,2,0,0,0,0,1,1
institution,utap,3,3,0,0,0,0,5,1
institution,utica,6,6,0,0,0,0,5,1
institution,wifak-bank,1,1,0,0,0,0,1,1
institution,world-bank,1,1,0,0,0,0,3,1
institution,zitouna-bank,2,2,0,0,0,0,4,1
institution,zitouna-tv,3,3,0,0,0,0,3,1
era,ben-ali-consolidation,187,187,11,1,1,1,184,1
era,bourguiba,217,217,19,1,1,1,171,1
era,fragmentation,323,323,12,3,3,3,366,0
era,pluralism,361,361,8,1,1,1,364,1
era,police-state,265,265,13,2,2,2,260,1
era,recentralisation,461,461,15,6,6,6,509,0
era,transition,365,365,11,2,2,2,357,1
source_family,africa business,3,2,0,0,0,2,3,1
source_family,africa intelligence,2,2,0,0,0,2,2,1
source_family,africa intelligence accessed via blackfacts aggregator original is paywalled,1,0,0,0,0,0,1,1
source_family,africa intelligence maghreb confidential,1,1,0,0,0,1,1,1
source_family,african development bank,3,1,0,0,0,1,3,1
source_family,african manager,28,23,0,0,0,23,28,0
source_family,african manager en,1,0,0,0,0,0,1,1
source_family,african union,1,0,0,0,0,0,1,1
source_family,africanews,2,2,0,0,0,2,2,1
